Function,Dimension,Algorithm,Cores,File Type,Execution Time (s)
F3,512,GWO,8,parallel,147.863438
F3,512,GWO,8,hybrid,154.167259
F3,512,GWO,16,parallel,127.97366
F3,512,GWO,16,hybrid,131.048476
F3,512,GWO,32,parallel,145.566704
F3,512,GWO,32,hybrid,148.3495
F3,512,GWO,64,parallel,148.020655
F3,512,GWO,64,hybrid,145.408415
F3,512,HGT-GWO,1,serial,313.96
F3,512,HGT-GWO,2,parallel,208.998781
F3,512,HGT-GWO,2,hybrid,207.771999
F3,512,HGT-GWO,4,parallel,163.518799
F3,512,HGT-GWO,4,hybrid,162.703111
F3,512,HGT-GWO,8,parallel,136.922751
F3,512,HGT-GWO,8,hybrid,136.702081
F3,512,HGT-GWO,16,parallel,115.007941
F3,512,HGT-GWO,16,hybrid,118.025806
F3,512,HGT-GWO,32,parallel,132.02118
F3,512,HGT-GWO,32,hybrid,130.984338
F3,512,HGT-GWO,64,parallel,137.559464
F3,512,HGT-GWO,64,hybrid,140.169233
F3,1024,GWO,1,serial,882.43
F3,1024,GWO,2,parallel,460.052373
F3,1024,GWO,2,hybrid,463.493119
F3,1024,GWO,4,parallel,297.295195
F3,1024,GWO,4,hybrid,299.426518
F3,1024,GWO,8,parallel,216.125543
F3,1024,GWO,8,hybrid,222.709897
F3,1024,GWO,16,parallel,180.537897
F3,1024,GWO,16,hybrid,189.917905
F3,1024,GWO,32,parallel,154.533951
F3,1024,GWO,32,hybrid,165.557964
F3,1024,GWO,64,parallel,166.631799
F3,1024,GWO,64,hybrid,168.437015
F3,1024,HGT-GWO,1,serial,886.28
F3,1024,HGT-GWO,2,parallel,438.467015
F3,1024,HGT-GWO,2,hybrid,439.046311
F3,1024,HGT-GWO,4,parallel,275.685502
F3,1024,HGT-GWO,4,hybrid,276.586963
F3,1024,HGT-GWO,8,parallel,198.610618
F3,1024,HGT-GWO,8,hybrid,198.415311
F3,1024,HGT-GWO,16,parallel,160.375421
F3,1024,HGT-GWO,16,hybrid,160.088909
F3,1024,HGT-GWO,32,parallel,140.050924
F3,1024,HGT-GWO,32,hybrid,140.399809
F3,1024,HGT-GWO,64,parallel,143.892819
F3,1024,HGT-GWO,64,hybrid,148.023013
